title,link,genre,rating,director,top_actors
191. A Man Called Ove,/title/tt4080728/?ref_=sr_t_191,{Comedy|Drama|Romance},PG-13,Hannes Holm,{Rolf Lassgård|Bahar Pars|Filip Berg}
192. The Man from Nowhere,/title/tt1527788/?ref_=sr_t_192,{Action|Crime|Drama},R,Lee Jeong-beom,{Won Bin|Kim Sae-ron|Kim Tae-hoon}
193. Invasion of the Body Snatchers,/title/tt0049366/?ref_=sr_t_193,{Drama|Horror|Sci-Fi},Approved,Don Siegel,{Kevin McCarthy|Dana Wynter|Larry Gates}
194. Black Narcissus,/title/tt0039192/?ref_=sr_t_194,{Drama},Approved,Michael Powell,{Deborah Kerr|David Farrar|Flora Robson}
195. Open Your Eyes,/title/tt0125659/?ref_=sr_t_195,{Drama|Mystery|Sci-Fi},R,Alejandro Amenábar,{Eduardo Noriega|Penélope Cruz|Chete Lera}
196. Fantastic Planet,/title/tt0070544/?ref_=sr_t_196,{Animation|Sci-Fi},PG,René Laloux,{Barry Bostwick|Jennifer Drake|Eric Baugin}
197. Dreams,/title/tt0100998/?ref_=sr_t_197,{Drama|Fantasy},PG,Akira Kurosawa,{Akira Terao|Mitsuko Baishô|Toshie Negishi}
198. Beasts of No Nation,/title/tt1365050/?ref_=sr_t_198,{Drama|War},TV-MA,Cary Joji Fukunaga,{Abraham Attah|Emmanuel Affadzi|Ricky Adelayitor}
199. Good Bye Lenin!,/title/tt0301357/?ref_=sr_t_199,{Comedy|Drama|Romance},R,Wolfgang Becker,{Daniel Brühl|Katrin Sass|Chulpan Khamatova}
200. Hedwig and the Angry Inch,/title/tt0248845/?ref_=sr_t_200,{Comedy|Drama|Music},R,John Cameron Mitchell,{John Cameron Mitchell|Miriam Shor|Stephen Trask}
201. Hard Boiled,/title/tt0104684/?ref_=sr_t_201,{Action|Crime|Thriller},R,John Woo,{Chow Yun-Fat|Tony Leung Chiu-wai|Teresa Mo}
202. The Double Life of Véronique,/title/tt0101765/?ref_=sr_t_202,{Drama|Fantasy|Music},R,Krzysztof Kieslowski,{Irène Jacob|Wladyslaw Kowalski|Halina Gryglaszewska}
203. The Lady Vanishes,/title/tt0030341/?ref_=sr_t_203,{Mystery|Thriller},Approved,Alfred Hitchcock,{Margaret Lockwood|Michael Redgrave|Paul Lukas}
204. Never Look Away,/title/tt5311542/?ref_=sr_t_204,{Biography|Drama|Romance},R,Florian Henckel von Donnersmarck,{Tom Schilling|Sebastian Koch|Paula Beer}
205. My Dinner with Andre,/title/tt0082783/?ref_=sr_t_205,{Comedy|Drama},PG,Louis Malle,{Andre Gregory|Wallace Shawn|Jean Lenauer}
206. Perfect Strangers,/title/tt4901306/?ref_=sr_t_206,{Comedy|Drama},2016,Paolo Genovese,{Giuseppe Battiston|Anna Foglietta|Marco Giallini}
207. Night on Earth,/title/tt0102536/?ref_=sr_t_207,{Comedy|Drama},R,Jim Jarmusch,{Winona Ryder|Gena Rowlands|Lisanne Falk}
208. Taste of Cherry,/title/tt0120265/?ref_=sr_t_208,{Drama},Not Rated,Abbas Kiarostami,{Homayoun Ershadi|Abdolhosein Bagheri|Afshin Khorshid Bakhtiari}
209. Cape Fear,/title/tt0055824/?ref_=sr_t_209,{Drama|Thriller},Approved,J. Lee Thompson,{Gregory Peck|Robert Mitchum|Polly Bergen}
210. The Killer,/title/tt0097202/?ref_=sr_t_210,{Action|Crime|Drama},R,John Woo,{Chow Yun-Fat|Danny Lee|Sally Yeh}
211. My Darling Clementine,/title/tt0038762/?ref_=sr_t_211,{Drama|Romance|Western},Approved,John Ford,{Henry Fonda|Linda Darnell|Victor Mature}
212. Confessions,/title/tt1590089/?ref_=sr_t_212,{Drama|Thriller},Not Rated,Tetsuya Nakashima,{Takako Matsu|Yoshino Kimura|Masaki Okada}
213. Frost/Nixon,/title/tt0870111/?ref_=sr_t_213,{Biography|Drama|History},R,Ron Howard,{Frank Langella|Michael Sheen|Kevin Bacon}
214. The Motorcycle Diaries,/title/tt0318462/?ref_=sr_t_214,{Adventure|Biography|Drama},R,Walter Salles,{Gael García Bernal|Rodrigo de la Serna|Mía Maestro}
215. Duck Soup,/title/tt0023969/?ref_=sr_t_215,{Comedy|Musical},Approved,Leo McCarey,{Groucho Marx|Harpo Marx|Chico Marx}
216. The Triplets of Belleville,/title/tt0286244/?ref_=sr_t_216,{Animation|Adventure|Comedy},PG-13,Sylvain Chomet,{Michèle Caucheteux|Jean-Claude Donda|Michel Robin}
217. How Green Was My Valley,/title/tt0033729/?ref_=sr_t_217,{Drama|Family},Approved,John Ford,{Walter Pidgeon|Maureen O'Hara|Anna Lee}
218. The Innocents,/title/tt0055018/?ref_=sr_t_218,{Horror},Approved,Jack Clayton,{Deborah Kerr|Peter Wyngarde|Megs Jenkins}
